dohukenjpn,jshopname,dohuken,kshopname
大阪府,麦と麺助,오사카,무기토멘스케
大阪府,世界一暇なラーメン屋,오사카,세카이이치히마나라멘야
大阪府,烈志笑魚油 麺香房 三く,오사카,산쿠
大阪府,燃えよ麺助,오사카,모에요 멘스케
大阪府,くそオヤジ最後のひとふり,오사카,쿠소오야지사이고노히토후리
大阪府,人類みな麺類,오사카,진루이미나멘루이
大阪府,中華そば カドヤ食堂 総本店,오사카,중화소바 카도야쇼쿠도 혼텐
大阪府,ラーメン而今 中之島フェスティバルプラザ店,오사카,라멘지콘 나카노시마 페스티벌플라자점
大阪府,麺屋 丈六,오사카,멘야 죠로쿠
大阪府,金久右衛門 本店,오사카,킨구에몬 혼텐
大阪府,らーめん颯人,오사카,라멘하야토
大阪府,中華そば うえまち,오사카,중화소바 우에마치
大阪府,らーめん製作所 奏,오사카,라멘세이사쿠조카나데
大阪府,中華蕎麦 葛,오사카,중화소바 카즈라
大阪府,麺やマルショウ 신오사카역점,오사카,멘야 마루쇼우
大阪府,麺や 紡,오사카,멘야 츠무구
大阪府,ラーメン ニューヨーク ニューヨーク,오사카,라멘 뉴욕뉴욕
兵庫県,らーめん専門 和心 武庫川店,효고,라멘센몬 나고미 무코가와 본점 
兵庫県,らーめん専門 和心 武庫之荘店,효고,라멘센몬 나고미 무코노소텐
兵庫県,中華そば麦右衛門,효고,중화소바 무기에몬
京都府,あいつのラーメン かたぐるま 北野白梅町店,교토,아이츠노 라멘 카타쿠루마
京都府,せあぶらの神,교토,세아브라노 카미
京都府,和醸良麺 すがり,교토,와죠료우멘 스가리
京都府,らぁ麺とうひち,교토,라멘 토우히치
京都府,本家 第一旭 たかばし本店,교토,혼케 다이이치아사히 다카바시혼텐
京都府,山崎麺二郎,교토,야마자키멘 지로
京都府,麺屋 極鶏,교토,멘야 곳케이
京都府,麺匠 一粒万倍,교토,멘쇼 이치류만바이
奈良県,ラーメン屋 三つ葉,나라,라멘야 미츠바
滋賀県,麺屋 號tetu,시가,멘야 코테츠
奈良県,麺屋NOROMA,나라,멘야 노로마
和歌山県,和 dining 清乃,와카야마,와 다이닝 세이노
和歌山県,井出商店,와카야마, 이데쇼텐
和歌山県,正善,와카야마,마사요시
三重県,春吉,미에,하루키치
三重県,鉢ノ葦葉 本店,미에,하치노아시하
三重県,ラーメン ぐんじ,미에,라멘군지
三重県,みねそら,미에,미네소라
三重県,蔵deらーめん,미에,쿠라데라멘
三重県,中義水産,미에,나카요시스이산
千葉県,中華蕎麦 とみ田,지바,중화소바 토미타
神奈川県,らぁ麺屋飯田商店,가나가와,이이다쇼텐
東京都,麺屋 さくら井,도쿄,멘야 사쿠라이
東京都,中華そば 多賀野,도쿄,중화소바 타카노
東京都,創作麺工房 鳴龍,도쿄,나키류
東京都,麺屋一燈,도쿄,멘야잇토
東京都,つけ麺五ノ神製作所,도쿄,츠케멘고노카미세이사쿠조
東京都,麺屋武蔵 鷹虎,도쿄,멘야무사시 다카토라
東京都,麺処 晴,도쿄,멘도코로 하루
東京都,志奈そば 田なか セカンド,도쿄,시나소바 타나카 second
東京都,中華蕎麦 にし乃,도쿄,중화소바 니시노
東京都,神保町 黒須,도쿄,진보쵸 쿠로스
東京都,神田 勝本,도쿄,칸다 카츠모토
東京都,喜楽,도쿄,키라쿠
東京都,蒙古タンメン中本 新宿店,도쿄,모코탄멘 나카모토 신주쿠점
東京都,大勝軒 本店,도쿄,다이쇼켄 혼텐
東京都,机上の空論,도쿄,키조노쿠론
東京都,麺や庄の,도쿄,멘야 쇼노
千葉県,支那ソバ 小むろ,지바,시나소바 코무로
千葉県,兎に角 松戸店,지바,토니카쿠
千葉県,中華そば まるき,지바,중화소바 마루키
東京都,Japanese Soba Noodles蔦,도쿄,츠타
福岡県,博多らーめん ShinShin 天神本店,후쿠오카,하카타라멘 신신 텐진혼텐
福岡県,元気一杯,후쿠오카,겐키잇빠이
福岡県,元祖 長浜屋,후쿠오카,간소 나가하마야
福岡県,長浜ナンバーワン 祇園店,후쿠오카,나가하마 난바완 기온텐
福岡県,麺道はなもこし,후쿠오카,멘도하나모코시
福岡県,らーめん はや川,후쿠오카,라멘 하야카와
福岡県,中華そば月光軒[ムンライケン],후쿠오카,중화소바 문라이켄
福岡県,らぁ麺 なお人,후쿠오카,라멘나오토
福岡県,どさんこ,후쿠오카,도산코
福岡県,汁なし専門 男のLL,후쿠오카,시루나시센몬오토코노에루에루
福岡県,麺や兼虎,후쿠오카,멘야 카네토라
福岡県,ラーメン仮面55,후쿠오카,라멘가멘파하파하
福岡県,来来,후쿠오카,라이라이
福岡県,ぎょらん亭 本店,후쿠오카,교란테이 혼텐
福岡県,モヒカンらーめん,후쿠오카,모히칸라멘
大分県,武庵 花福,오이타,부안 하나후쿠
大分県,六盛 ,오이타,로쿠세이
佐賀県,らぁ麺むらまさ,사가,라멘 무라마사
佐賀県,博多ラーメン竹林,사가,하카타라멘 지쿠린
熊本県,山水亭,구마모토,산스이테이
熊本県,熊本ラーメン 黒亭 本店,구마모토,쿠마모토라멘 고쿠테이 혼텐
熊本県,火の国文龍 菊陽バイパス店,구마모토,히노쿠니 분류 키쿠요바이패스텐
熊本県,桃苑 ,구마모토,도엔
熊本県,中華料理 太楼,구마모토,중화요리 다로
熊本県,好来ラーメン,구마모토,하오라이라멘
宮崎県,栄養軒,미야자키,에이요켄
宮崎県,風来軒加納本店,미야자키,후라이켄 가노혼텐
宮崎県,ラーメンマン ,미야자키,라멘맨
宮崎県,らぁめん 風や,미야자키,라멘 후야
長崎県,中華食堂三八 住吉店 ,나가사키,중화쇼쿠도산파치 스미요시텐
長崎県,らーめん砦,나가사키,라멘토리데
長崎県,しげちゃんラーメン,나가사키,시게짱라멘
鹿児島県,ヌードル ラボラトリー 金斗雲 ,가고시마,Noodle Laboratory 킨토운
鹿児島県,薩摩思無邪 鹿児島中央駅西口店,가고시마,사츠마시무자 가고시마추오에키니시구치텐
鹿児島県,麺人佐藤,가고시마,멘비토 사토
鹿児島県,こむらさき 天文館店,가고시마,고무라사키
鹿児島県,みその食堂,가고시마,미소노
鹿児島県,とんぼラーメン,가고시마,돈보라멘
鹿児島県,麺s ら.ぱしゃ,가고시마,멘's라파샤
北海道,純連,홋카이도,준렌
北海道,らーめん佳,홋카이도,라멘 요시
北海道,キュウ Japanese Ramen Noodle Lab Q,홋카이,Q
北海道,麺処まるはBEYOND,홋카이도,멘도코로 마루하 BEYOND
北海道,らーめん 信玄,홋카이도,라멘 신겐
北海道,凡の風,홋카이도,본노카제
北海道,MEN-EIJI 月寒FACTORY,홋카이도,멘에이지 히라기시베이스
北海道,ラーメン 木曜日,홋카이도,라멘 모쿠요비
北海道,あらとん 本店,홋카이도,아라톤 혼텐
北海道,らーめん つけ麺 NOFUJI,홋카이도,라멘 츠케멘 NOFUJI
北海道,麺屋,홋카이도,멘야
北海道,辛いラーメン,홋카이도,카라이라멘 쥬욘
北海道,麺や麗,홋카이도,멘야레이
北海道,えびそば 一幻 新千歳空港店,홋카이도,에비소바 이치겐
北海道,麺屋開高 新千歳空港店,홋카이도,멘야카이코
北海道,らーめん一番,홋카이도,라멘이치방
北海道,滋養軒,홋카이도,지요켄
北海道,はこだて塩らーめん しなの,홋카이도,하코다테시오라멘 시나노
北海道,恵庭 おとん食堂,홋카이도,에니와오톤쇼쿠도
北海道,こだわり,홋카이도,코다와리
北海道,カネカツかなや食堂,홋카이도,카네카츠카나야쇼쿠도
北海道,みすゞラーメン,홋카이도,미스즈라멘
北海道,らぁめんとん平,홋카이도,라멘톤페이
北海道,富良野とみ川,홋카이도,후라노 토미가와
北海道,間宮堂,홋카이도,마미야도
愛知県,らぁ麺 紫陽花,아이치,라멘 아지사이
愛知県,ラーメン奏,아이치,라멘카나데
愛知県,一陽軒,아이치,이치요우켄
愛知県,なるとや,아이치,나루토야
愛知県,ビショック,아이치,BESHOCK
愛知県,麺屋はなび セントレア店,아이치,멘야하나비 센트레아텐
静岡県,伊駄天 静岡店,시즈오카,이다텐 시즈오카텐
富山県,麺家 いろは cic店,도야마,멘야 이로하 cic텐
富山県,西町大喜 西町本店,도야마,니시쵸다이키
富山県,貧瞋癡,도야마,톤진치
石川県,ご当地ラーメン 巡,이시카와,고토치라멘 메구루
岐阜県,豆天狗,기후,마메텐구
岐阜県,まさごそば,기후,마사고소바
岐阜県,宮川伊吹,기후,미야가와 이부키
